Model,Accuracy,Precision,Recall,F1,ROC AUC,PR AUC
Logistic Regression,0.8524,0.7411,0.589,0.6563,0.9042,0.7633
Decision Tree,0.8141,0.6098,0.6198,0.6148,0.7475,0.469
