Logistic_Recall,Logistic_Precision,Tree_Recall,Tree_Precision
1.0,0.23932848807452145,1.0,0.23932848807452145
1.0,0.23935298935298935,0.6253207869974337,0.6192291401948327
1.0,0.2393774956486127,0.0,1.0
1.0,0.23940200696293262,,
1.0,0.23942652329749103,,
1.0,0.2394510446538304,,
1.0,0.2394755710334938,,
1.0,0.239500102438025,,
1.0,0.23952463886896835,,
1.0,0.23954918032786884,,
1.0,0.23957372681627215,,
1.0,0.23959827833572453,,
1.0,0.2396228348877729,,
1.0,0.23964739647396474,,
1.0,0.2396719630958483,,
1.0,0.23969653475497232,,
1.0,0.2397211114528863,,
1.0,0.23974569319114028,,
1.0,0.239770279971285,,
1.0,0.2397948717948718,,
1.0,0.23981946866345266,,
1.0,0.23984407057858023,,
1.0,0.23986867754180774,,
1.0,0.2398932895546891,,
1.0,0.23991790661877885,,
1.0,0.23994252873563218,,
1.0,0.2399671559068049,,
1.0,0.2399917881338534,,
1.0,0.24001642541833487,,
1.0,0.24004106776180698,,
1.0,0.24006571516582811,,
1.0,0.2400903676319573,,
1.0,0.24011502516175415,,
1.0,0.24013968775677896,,
1.0,0.2401643554185927,,
1.0,0.24018902814875692,,
1.0,0.24021370594883387,,
1.0,0.24023838882038637,,
1.0,0.2402630767649779,,
1.0,0.24028776978417266,,
1.0,0.24031246787953542,,
1.0,0.24033717105263158,,
1.0,0.24036187930502725,,
1.0,0.24038659263828913,,
1.0,0.24041131105398458,,
0.9995722840034217,0.24033319621554916,,
0.9995722840034217,0.24035791422400493,,
0.9995722840034217,0.2403826373174244,,
0.9995722840034217,0.24040736549737682,,
0.9995722840034217,0.2404320987654321,,
0.9995722840034217,0.24045683712316082,,
0.9995722840034217,0.24048158057213417,,
0.9995722840034217,0.24050632911392406,,
0.9995722840034217,0.24053108275010293,,
0.9995722840034217,0.24055584148224396,,
0.9995722840034217,0.24058060531192094,,
0.9995722840034217,0.24060537424070833,,
0.9995722840034217,0.24063014827018123,,
0.9995722840034217,0.24065492740191535,,
0.9995722840034217,0.24067971163748714,,
0.9995722840034217,0.24070450097847357,,
0.9995722840034217,0.2407292954264524,,
0.9995722840034217,0.24075409498300196,,
0.9995722840034217,0.24077889964970123,,
0.9995722840034217,0.24080370942812984,,
0.9995722840034217,0.2408285243198681,,
0.9995722840034217,0.24085334432649697,,
0.9995722840034217,0.24087816944959803,,
0.9995722840034217,0.24090299969075354,,
0.9995722840034217,0.24092783505154639,,
0.9995722840034217,0.24095267553356017,,
0.9995722840034217,0.24097752113837906,,
0.9995722840034217,0.2410023718675879,,
0.9995722840034217,0.24102722772277227,,
0.9995722840034217,0.2410520887055183,,
0.9995722840034217,0.24107695481741284,,
0.9995722840034217,0.24110182606004332,,
0.9995722840034217,0.24112670243499792,,
0.9995722840034217,0.24115158394386543,,
0.9995722840034217,0.2411764705882353,,
0.9995722840034217,0.2412013623696976,,
0.9995722840034217,0.2412262592898431,,
0.9995722840034217,0.24125116135026323,,
0.9995722840034217,0.24127606855255007,,
0.9995722840034217,0.24130098089829632,,
0.9995722840034217,0.2413258983890954,,
0.9995722840034217,0.24135082102654137,,
0.9995722840034217,0.24137574881222887,,
0.9995722840034217,0.24140068174775334,,
0.9995722840034217,0.24142561983471075,,
0.9995722840034217,0.2414505630746978,,
0.9995722840034217,0.24147551146931184,,
0.9995722840034217,0.24150046502015088,,
0.9995722840034217,0.24152542372881355,,
0.9995722840034217,0.24155038759689923,,
0.9995722840034217,0.24157535662600785,,
0.9995722840034217,0.2416003308177401,,
0.9995722840034217,0.24162531017369726,,
0.9995722840034217,0.24165029469548133,,
0.9995722840034217,0.24167528438469493,,
0.9995722840034217,0.24170027924294135,,
0.9995722840034217,0.24172527927182458,,
0.9995722840034217,0.24175028447294922,,
0.9995722840034217,0.24177529484792054,,
0.9995722840034217,0.24180031039834454,,
0.9995722840034217,0.24182533112582782,,
0.9995722840034217,0.24185035703197766,,
0.9995722840034217,0.24187538811840198,,
0.9995722840034217,0.24190042438670945,,
0.9995722840034217,0.24192546583850932,,
0.9995722840034217,0.24195051247541152,,
0.9995722840034217,0.24197556429902672,,
0.9995722840034217,0.24200062131096614,,
0.9995722840034217,0.24202568351284176,,
0.9995722840034217,0.24205075090626618,,
0.9995722840034217,0.2420758234928527,,
0.9995722840034217,0.24210090127421527,,
0.9995722840034217,0.2421259842519685,,
0.9995722840034217,0.2421510724277277,,
0.9995722840034217,0.2421761658031088,,
0.9995722840034217,0.24220126437972847,,
0.9995722840034217,0.24222636815920398,,
0.9995722840034217,0.24225147714315332,,
0.9995722840034217,0.2422765913331951,,
